"","fips","Warm","Cold","ppt","series","SYMBOL","SI_m","SI_ft"
"249",26009,14.8,-12.19,780.550937126804,"IOSCO","PIST",19.5632804375195,64.1839909367436
"96",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","PIST",19.6329472761393,64.4125566802469
"62",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","PIST",20.0706791557487,65.8486848941885
"198",26009,14.8,-12.19,780.550937126804,"EMMET","PIST",20.3783096686187,66.8579713537359
"470",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","PIST",20.68408276219,67.8611639179463
"385",26009,14.8,-12.19,780.550937126804,"MENOMINEE","PIST",20.8262384579853,68.3275539960149
"266",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","PIST",21.2777876079719,69.80901446185
"148",26009,14.8,-12.19,780.550937126804,"DEER PARK","POGR4",17.6251904284622,57.8254279149022
"318",26009,14.8,-12.19,780.550937126804,"KINROSS","POGR4",18.378216063068,60.2959844588845
"182",26009,14.8,-12.19,780.550937126804,"EAST LAKE","POGR4",19.1905170273686,62.9610138693195
"131",26009,14.8,-12.19,780.550937126804,"DAWSON","POGR4",19.413663366215,63.6931212802331
"335",26009,14.8,-12.19,780.550937126804,"LEELANAU","POGR4",19.5412372863153,64.1116708868611
"352",26009,14.8,-12.19,780.550937126804,"LUPTON","POGR4",19.6843212293146,64.5811063953891
"437",26009,14.8,-12.19,780.550937126804,"OTISCO","POGR4",20.6139140349131,67.630951558114
"488",26009,14.8,-12.19,780.550937126804,"TAWAS","POGR4",21.231932443622,69.6585710092586
"80",26009,14.8,-12.19,780.550937126804,"CATHRO","POGR4",21.4925410862074,70.5135862408381
"454",26009,14.8,-12.19,780.550937126804,"RUBICON","POGR4",21.8282428534848,71.614969991748
"29",26009,14.8,-12.19,780.550937126804,"ANGELICA","POGR4",21.9197798795371,71.9152883186912
"46",26009,14.8,-12.19,780.550937126804,"AU GRES","POGR4",22.3344412149567,73.2757257708552
"369",26009,14.8,-12.19,780.550937126804,"MANCELONA","POGR4",22.3502807885466,73.3276928758092
"301",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","POGR4",23.0922040371644,75.7618242689121
"403",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","POGR4",23.2978162706349,76.4364050873847
"114",26009,14.8,-12.19,780.550937126804,"CROSWELL","POGR4",23.4895256268051,77.0653727913555
"233",26009,14.8,-12.19,780.550937126804,"HALFADAY","POGR4",23.7381855874545,77.8811863105464
"284",26009,14.8,-12.19,780.550937126804,"KALKASKA","POGR4",23.7513482318627,77.9243708394444
