"","series","SYMBOL","Nrows","siMin","siMax","siMean"
"87","COLOMA","QURU",1,48.8180174700552,48.8180174700552,48.8180174700552
"88","COLONVILLE","FRPE",1,69.9723004003507,69.9723004003507,69.9723004003507
"89","COLTON","PIST",2,64.5925742938399,66.5597110408167,65.5687660428383
"90","COVERT","ACRU",1,66.5597110408167,66.5597110408167,66.5597110408167
"91","COVERT","PIST",1,55.5953439125362,55.5953439125362,55.5953439125362
"92","COVERT","QUAL",1,66.5597110408167,66.5597110408167,66.5597110408167
"93","COVERT","QURU",1,67.9043063956348,67.9043063956348,67.9043063956348
"94","CROGHAN","ACRU",1,73.5598569578292,73.5598569578292,73.5598569578292
"95","CROGHAN","PIRE",1,67.9043063956348,67.9043063956348,67.9043063956348
"96","CROGHAN","PIST",1,75.8000881191673,75.8000881191673,75.8000881191673
"97","CROSWELL","ABBA",1,45.9750774531943,45.9750774531943,45.9750774531943
"98","CROSWELL","ACRU",1,45.9750774531943,45.9750774531943,45.9750774531943
"99","CROSWELL","BEPA",2,57.8642329390988,58.445778148334,58.1542786137193
"100","CROSWELL","PIBA2",6,45.9750774531943,52.883926994841,49.4732830995759
"101","CROSWELL","PIGL",1,48.8180174700552,48.8180174700552,48.8180174700552
"102","CROSWELL","PIRE",6,41.5999703767516,72.8279241517114,52.7958605256264
"103","CROSWELL","PIST",1,61.4423572725489,61.4423572725489,61.4423572725489
"104","CROSWELL","POGR4",4,57.8642329390988,77.3313514733206,66.7263184909567
"105","CROSWELL","POTR5",1,67.9043063956348,67.9043063956348,67.9043063956348
"106","CUBLAKE","ACRU",1,66.5597110408167,66.5597110408167,66.5597110408167
"107","CUBLAKE","POGR4",1,80.4873037962905,80.4873037962905,80.4873037962905
"108","CUBLAKE","QURU",1,64.5925742938399,64.5925742938399,64.5925742938399
"109","DEER PARK","PIBA2",2,47.8513559576141,48.8180174700552,48.3322700801922
"110","DEER PARK","PIRE",4,46.9038356255827,51.8367550795945,49.3086467023471
"111","DEER PARK","PIST",1,37.6412097860723,37.6412097860723,37.6412097860723
"112","DEER PARK","QURU",2,35.8054263223162,36.8958638939693,36.3465560439187
"113","DEERFIELD","PIST",1,65.8974308503532,65.8974308503532,65.8974308503532
"114","DEERTON","ACSA3",1,69.9723004003507,69.9723004003507,69.9723004003507
